Airfoil,Re,Mach,Panels,Ncrit,Degrees,xy file,Cl file,Cd file,Cm file,xupsep file,xlosep file,Differentiator
NACA 23014,100000.0,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,600000.0,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,1.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re1100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re1100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re1100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,1.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re1600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re1600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re1600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,2.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re2100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re2100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re2100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,2.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re2600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re2600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re2600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,3.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re3100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re3100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re3100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,3.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re3600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re3600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re3600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,4.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re4100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re4100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re4100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,4.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re4600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re4600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re4600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,5.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re5100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re5100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re5100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,5.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re5600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re5600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re5600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,6.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re6100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re6100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re6100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,6.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re6600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re6600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re6600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,7.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re7100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re7100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re7100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,7.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re7600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re7600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re7600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,8.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re8100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re8100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re8100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,8.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re8600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re8600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re8600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,9.1e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re9100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re9100000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re9100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 23014,9.6e6,0.0,160,9.0,true,NACA23014-npanels160-0.csv,NACA23014-Cl-re9600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cd-re9600000-ma0p0-ncrit9p0-0.csv,NACA23014-Cm-re9600000-ma0p0-ncrit9p0-0.csv, , ,0
